category_id,category_name,parent_id,parent_name,root_id,root_name,path
32991,"Money, Banking, & Finance",0,Categories,0,Categories,"Money, Banking, & Finance"
22,Interest Rates,32991,"Money, Banking, & Finance",32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates"
33058,Automobile Loan Rates,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Automobile Loan Rates"
51,Bankers Acceptance Rate,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Bankers Acceptance Rate"
121,Certificates of Deposit,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Certificates of Deposit"
120,Commercial Paper,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Commercial Paper"
32348,Corporate Bonds,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Corporate Bonds"
33059,Credit Card Loan Rates,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Credit Card Loan Rates"
32298,Eurodollar Deposits,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Eurodollar Deposits"
118,"FRB Rates - discount, fed funds, primary credit",22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > FRB Rates - discount, fed funds, primary credit"
33056,Interest Checking Accounts,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Interest Checking Accounts"
33446,Interest Rate Spreads,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Interest Rate Spreads"
32299,Interest Rate Swaps,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Interest Rate Swaps"
33003,LIBOR Rates,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > LIBOR Rates"
32995,Long-Term Securities,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Long-Term Securities"
33055,Money Market Accounts,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Money Market Accounts"
114,Mortgage Rates,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Mortgage Rates"
33057,Personal Loan Rates,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Personal Loan Rates"
117,Prime Bank Loan Rate,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Prime Bank Loan Rate"
33491,Saving Accounts,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Saving Accounts"
116,Treasury Bills,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Treasury Bills"
115,Treasury Constant Maturity,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Treasury Constant Maturity"
82,Treasury Inflation-Indexed Securities,22,Interest Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Interest Rates > Treasury Inflation-Indexed Securities"
15,Exchange Rates,32991,"Money, Banking, & Finance",32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates"
94,Daily Rates,15,Exchange Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > Daily Rates"
95,Monthly Rates,15,Exchange Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > Monthly Rates"
32219,Annual Rates,15,Exchange Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > Annual Rates"
105,Trade-Weighted Indexes,15,Exchange Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > Trade-Weighted Indexes"
158,By Country,15,Exchange Rates,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > By Country"
287,Australia,158,By Country,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > By Country > Australia"
286,Austria,158,By Country,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > By Country > Austria"
285,Belgium,158,By Country,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > By Country > Belgium"
284,Brazil,158,By Country,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > By Country > Brazil"
283,Canada,158,By Country,32991,"Money, Banking, & Finance","Money, Banking, & Finance > Exchange Rates > By Country > Canada"
