category_id,category_name,parent_id,parent_name,root_id,root_name,path
32217,Commodities,32455,Prices,32455,Prices,Prices > Commodities
9,Consumer Price Indexes (CPI and PCE),32455,Prices,32455,Prices,Prices > Consumer Price Indexes (CPI and PCE)
32415,Food and Beverages,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Food and Beverages
32416,Housing,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Housing
32417,Apparel,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Apparel
32418,Transportation,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Transportation
32419,Medical Care,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Medical Care
32420,Recreation,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Recreation
32421,Education and Communication,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Education and Communication
32422,Other Goods and Services,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Other Goods and Services
32423,Commodity and Services Groups,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Commodity and Services Groups
32424,Special Indexes,9,Consumer Price Indexes (CPI and PCE),32455,Prices,Prices > Consumer Price Indexes (CPI and PCE) > Special Indexes
4,Employment Cost Index,32455,Prices,32455,Prices,Prices > Employment Cost Index
33717,Health Care Indexes,32455,Prices,32455,Prices,Prices > Health Care Indexes
32261,House Price Indexes,32455,Prices,32455,Prices,Prices > House Price Indexes
31,Producer Price Indexes (PPI),32455,Prices,32455,Prices,Prices > Producer Price Indexes (PPI)
33583,Commodity Based,31,Producer Price Indexes (PPI),32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based
33564,Accommodation Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Accommodation Services
33548,Advertising Space and Time Sales,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Advertising Space and Time Sales
33533,Chemicals and Allied Products,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Chemicals and Allied Products
33560,Cleaning and Building Maintenance Services,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Cleaning and Building Maintenance Services
33573,Construction,33583,Commodity Based,32455,Prices,Prices > Producer Price Indexes (PPI) > Commodity Based > Construction
